,M,N,lb,ub,makespan,iters,total_t,prep_t,iter_t,d,tau,pmax,pmin,cols,box_size,box_bound
996,4,20,20,50,239.0,10,1928.2518,0.0005,1928.2513,3,1,48,31,41.0,214.6,16.0
997,4,20,20,50,0.0,1,0.0,0.0,0.0,4,1,47,25,393.0,580.0,11.0
998,4,20,20,50,117.0,9,10.374,0.00044444444444444447,10.373555555555555,4,2,48,22,380.77777777777777,624.0,6.0
999,4,20,20,50,112.0,8,1.282875,0.000375,1.2825,3,2,45,25,95.625,698.25,13.0
1000,4,8,1,20,24.0,6,0.0,0.0,0.0,2,2,13,12,12.333333333333334,151.0,7.0
1001,4,8,1,20,16.6667,8,0.00025,0.00025,0.0,3,3,15,11,33.0,293.625,4.0
1002,4,8,1,20,22.5,6,0.0,0.0,0.0,2,2,15,5,11.0,94.66666666666667,7.0
1003,4,8,1,20,8.0,6,0.0,0.0,0.0,1,3,6,6,10.0,89.0,8.0
1004,4,8,1,20,19.0,8,0.0,0.0,0.0,1,3,19,19,8.25,60.0,8.0
1005,4,8,1,20,21.0,7,0.0,0.0,0.0,1,2,14,14,6.142857142857143,42.285714285714285,8.0
1006,4,8,1,20,17.6667,8,0.0005,0.000375,0.000125,3,3,20,13,31.25,191.25,4.0
1007,4,8,1,20,16.0,5,0.0028,0.0006,0.0022,3,2,13,3,24.0,123.6,5.0
1008,4,8,1,20,13.5,6,0.0,0.0,0.0,1,2,9,9,6.166666666666667,42.333333333333336,8.0
1009,4,8,1,20,20.0,7,0.11057142857142857,0.00028571428571428574,0.11028571428571429,5,2,20,8,49.142857142857146,504.0,4.0
1010,4,8,1,20,20.5,6,0.0003333333333333333,0.0003333333333333333,0.0,2,2,18,5,10.0,87.33333333333333,7.0
1011,4,8,1,20,17.0,8,0.0005,0.000375,0.000125,3,3,18,8,34.0,279.0,4.0
1012,4,8,1,20,34.0,7,0.0008571428571428571,0.0005714285714285715,0.00028571428571428574,3,2,19,4,27.571428571428573,197.14285714285714,4.0
1013,4,8,1,20,12.0,6,0.0008333333333333334,0.0006666666666666666,0.00016666666666666666,3,2,10,5,27.0,212.0,4.0
1014,4,8,1,20,8.0,5,0.0,0.0,0.0,1,1,4,4,3.8,19.4,8.0
1015,4,8,1,20,19.0,7,0.00014285714285714287,0.00014285714285714287,0.0,2,2,14,12,11.857142857142858,90.28571428571429,6.0
1016,4,8,1,20,14.5,7,0.009,0.00042857142857142855,0.008571428571428572,3,2,14,9,17.714285714285715,141.42857142857142,5.0
1017,4,8,1,20,14.0,6,0.004833333333333334,0.0003333333333333333,0.0045,4,2,14,2,37.833333333333336,264.0,3.0
1018,4,8,1,20,7.0,4,0.00125,0.00025,0.001,3,2,8,2,19.25,420.5,6.0
1019,4,8,1,20,32.0,7,0.0,0.0,0.0,1,2,16,16,7.285714285714286,56.857142857142854,8.0
1020,4,8,1,20,16.0,7,0.00042857142857142855,0.00042857142857142855,0.0,3,3,14,10,31.428571428571427,295.7142857142857,5.0
1021,4,8,1,20,16.0,6,0.0008333333333333334,0.0005,0.0003333333333333333,3,2,18,8,19.833333333333332,238.0,4.0
1022,4,8,1,20,28.0,7,0.0018571428571428571,0.0005714285714285715,0.0012857142857142856,3,2,16,11,26.0,254.0,5.0
1023,4,8,1,20,7.0,6,0.0003333333333333333,0.00016666666666666666,0.00016666666666666666,3,3,9,4,27.833333333333332,396.0,4.0
1024,4,8,1,20,38.0,7,0.09942857142857142,0.00028571428571428574,0.09914285714285714,3,1,19,4,15.0,59.57142857142857,5.0
1025,4,8,1,20,9.0,5,0.0014,0.0004,0.001,3,2,17,1,24.4,264.0,4.0
1026,4,8,1,20,18.0,8,0.0,0.0,0.0,2,4,18,12,21.875,268.0,7.0
1027,4,8,1,20,20.0,6,0.0026666666666666666,0.0003333333333333333,0.0023333333333333335,3,2,20,1,29.5,264.0,4.0
1028,4,8,1,20,26.0,6,2.0208333333333335,0.0003333333333333333,2.0205,5,1,17,3,29.833333333333332,117.83333333333333,3.0
1029,4,8,1,20,18.0,8,0.000375,0.000375,0.0,3,3,19,3,39.625,279.0,4.0
1030,4,8,1,20,36.0,7,0.00014285714285714287,0.00014285714285714287,0.0,2,2,18,1,13.285714285714286,130.28571428571428,7.0
1031,4,8,1,20,16.0,7,0.05928571428571429,0.0005714285714285715,0.05871428571428571,5,2,17,3,43.142857142857146,354.0,3.0
1032,4,8,1,20,18.5,8,0.000875,0.000625,0.00025,3,3,20,17,21.375,280.5,6.0
1033,4,8,1,20,9.0,6,0.0015,0.0003333333333333333,0.0011666666666666668,3,2,18,1,31.0,264.0,4.0
1034,4,8,1,20,14.0,5,0.1764,0.0004,0.176,5,2,20,1,44.4,414.0,4.0
1035,4,8,1,20,17.0,9,0.0008888888888888889,0.0007777777777777777,0.00011111111111111112,3,4,18,2,35.111111111111114,406.6666666666667,6.0
